poll_id,pollster,methodology,transparency_score,state,party,candidate,pct,sample_size
1,Ipsos,Mixed,2.9,California,REP,Kamala Harris,30.3,1047
2,Ipsos,Phone,7.9,Florida,DEM,Kamala Harris,42.2,524
3,TIPP Insights,Mixed,4.1,Georgia,DEM,Donald Trump,20.9,1528
4,Ipsos,In-person,8.8,California,REP,Joe Biden,28.4,1473
5,YouGov,Phone,9.4,Georgia,REP,Kamala Harris,45.5,885
6,Ipsos,Phone,0.5,Ohio,REP,Donald Trump,48.7,2598
7,YouGov,In-person,5.3,Florida,DEM,Joe Biden,51.1,2964
8,YouGov,Online,8.9,California,REP,Donald Trump,22.9,2818
9,TIPP Insights,Mixed,5.5,Georgia,DEM,Joe Biden,23.9,1496
10,ActiVote,Mixed,4.6,Georgia,REP,Kamala Harris,57.9,1866
11,ActiVote,Phone,9.6,Ohio,DEM,Ron DeSantis,57.2,1278
12,Ipsos,Online,4.5,Michigan,DEM,Kamala Harris,56.9,2828
13,Ipsos,In-person,6.8,California,DEM,Kamala Harris,46,1661
14,TIPP Insights,Online,5.7,Georgia,REP,Ron DeSantis,26.3,2319
15,TIPP Insights,Mixed,1,California,DEM,Donald Trump,56.4,1145
16,YouGov,In-person,9,Illinois,REP,Donald Trump,56.9,2047
17,ActiVote,In-person,2.5,Texas,DEM,Joe Biden,26.8,646
18,ActiVote,In-person,0.4,Pennsylvania,DEM,Ron DeSantis,22.9,2454
19,ActiVote,Online,3.3,North Carolina,DEM,Donald Trump,42.6,763
20,Ipsos,In-person,9.5,Florida,DEM,Joe Biden,34.6,1578
21,ActiVote,In-person,8.9,North Carolina,REP,Kamala Harris,38.4,1359
22,ActiVote,Online,6.9,New York,REP,Joe Biden,38.6,1120
23,YouGov,Phone,6.4,Georgia,DEM,Donald Trump,51.2,2933
24,Ipsos,Phone,9.9,Illinois,REP,Kamala Harris,52.9,1265
25,TIPP Insights,Phone,6.6,Michigan,REP,Donald Trump,31.3,2272
26,YouGov,Phone,7.1,Pennsylvania,REP,Donald Trump,49.2,2728
27,TIPP Insights,Phone,5.4,California,REP,Ron DeSantis,39.8,2905
28,ActiVote,In-person,5.9,California,REP,Kamala Harris,22.7,2238
29,ActiVote,Phone,2.9,Texas,DEM,Donald Trump,21.5,702
30,Ipsos,Mixed,1.5,North Carolina,REP,Ron DeSantis,29.5,2192
31,TIPP Insights,Phone,9.6,Michigan,DEM,Kamala Harris,28.7,2068
32,ActiVote,Mixed,9,California,REP,Donald Trump,36.9,652
33,ActiVote,Phone,6.9,Texas,DEM,Ron DeSantis,42,2540
34,YouGov,Phone,8,Michigan,REP,Ron DeSantis,48.5,1011
35,TIPP Insights,Phone,0.2,California,REP,Joe Biden,29.6,795
36,Ipsos,Mixed,4.8,Texas,REP,Ron DeSantis,55.8,2030
37,ActiVote,Online,7.6,New York,REP,Ron DeSantis,39.3,2399
38,TIPP Insights,Phone,2.2,Georgia,DEM,Ron DeSantis,30.5,571
39,Ipsos,Mixed,3.2,Georgia,DEM,Ron DeSantis,32.8,963
40,TIPP Insights,Mixed,2.3,Pennsylvania,DEM,Donald Trump,46.6,1789
41,TIPP Insights,Phone,1.4,Michigan,REP,Joe Biden,49.1,1309
42,ActiVote,Phone,4.1,North Carolina,REP,Kamala Harris,42.9,1163
43,TIPP Insights,Mixed,4.1,California,DEM,Donald Trump,55.1,1871
44,ActiVote,Mixed,3.7,New York,REP,Kamala Harris,36.4,2587
45,Ipsos,Online,1.5,Ohio,REP,Ron DeSantis,28.2,2181
46,YouGov,Online,1.4,Illinois,REP,Joe Biden,38.8,1598
47,Ipsos,Phone,2.3,Texas,REP,Joe Biden,35.2,646
48,YouGov,Phone,4.7,Ohio,DEM,Ron DeSantis,29.9,2229
49,ActiVote,In-person,2.7,Florida,REP,Kamala Harris,57,2156
50,TIPP Insights,Mixed,8.6,Texas,REP,Ron DeSantis,38.6,2844
51,YouGov,Phone,0.5,California,REP,Kamala Harris,20.6,2250
52,TIPP Insights,Online,4.4,Illinois,REP,Ron DeSantis,57.7,2296
53,YouGov,Phone,8,Illinois,DEM,Joe Biden,35,2669
54,Ipsos,In-person,1.2,New York,REP,Kamala Harris,20.3,1785
55,ActiVote,Phone,5.6,Pennsylvania,DEM,Joe Biden,59.2,1125
56,Ipsos,Online,2.1,Pennsylvania,DEM,Ron DeSantis,35.1,2830
57,Ipsos,Mixed,1.3,North Carolina,REP,Donald Trump,59.4,639
58,YouGov,Mixed,7.5,Georgia,REP,Kamala Harris,25.6,1474
59,Ipsos,Online,9,Illinois,DEM,Joe Biden,42.5,1109
60,TIPP Insights,In-person,3.7,North Carolina,DEM,Joe Biden,51.8,2433
61,YouGov,Phone,6.7,Ohio,DEM,Joe Biden,27.8,1653
62,YouGov,Online,0.9,Florida,REP,Ron DeSantis,48.4,1859
63,YouGov,Phone,3.8,California,REP,Joe Biden,42.6,1154
64,ActiVote,Online,2.7,Texas,DEM,Joe Biden,20.4,2096
65,ActiVote,Online,8.1,North Carolina,REP,Kamala Harris,30.3,1902
66,TIPP Insights,Phone,4.5,Pennsylvania,DEM,Ron DeSantis,38.8,2152
67,Ipsos,Online,8.1,Pennsylvania,DEM,Joe Biden,57.1,651
68,YouGov,Phone,8.1,Ohio,REP,Kamala Harris,59.8,1486
69,ActiVote,Mixed,7.9,California,DEM,Donald Trump,28.4,2422
70,ActiVote,Online,4.4,California,DEM,Ron DeSantis,41.8,1301
71,TIPP Insights,Mixed,7.5,North Carolina,REP,Ron DeSantis,45.8,529
72,ActiVote,Phone,6.3,Texas,DEM,Ron DeSantis,56,2428
73,ActiVote,In-person,7.1,Texas,REP,Ron DeSantis,49.3,2611
74,Ipsos,Phone,0,Pennsylvania,REP,Donald Trump,44.4,2240
75,TIPP Insights,Mixed,4.8,California,DEM,Donald Trump,29,2382
76,Ipsos,Online,2.2,Florida,REP,Kamala Harris,56.6,1122
77,ActiVote,Online,3.8,North Carolina,DEM,Kamala Harris,52.1,2847
78,YouGov,Online,6.1,Michigan,DEM,Kamala Harris,32.5,2664
79,ActiVote,Mixed,3.5,Florida,REP,Ron DeSantis,29.1,1468
80,TIPP Insights,Phone,1.1,Texas,REP,Joe Biden,46.3,1776
81,YouGov,Mixed,2.4,California,REP,Joe Biden,49.4,1750
82,TIPP Insights,Phone,6.7,Michigan,REP,Ron DeSantis,38.6,992
83,ActiVote,Online,4.2,Florida,DEM,Ron DeSantis,54.5,2349
84,YouGov,Online,7.9,Texas,DEM,Ron DeSantis,47,2492
85,Ipsos,Online,1,Michigan,REP,Ron DeSantis,26.5,1777
86,TIPP Insights,In-person,4.3,North Carolina,REP,Ron DeSantis,20.5,2979
87,TIPP Insights,In-person,9.8,North Carolina,DEM,Ron DeSantis,54.6,1464
88,ActiVote,Online,8.9,Illinois,DEM,Ron DeSantis,24,539
89,TIPP Insights,Phone,8.9,Illinois,REP,Kamala Harris,32.5,1743
90,Ipsos,In-person,1.8,Georgia,REP,Joe Biden,37.4,817
91,Ipsos,Online,1.3,New York,DEM,Donald Trump,44.6,2757
92,Ipsos,Online,6.5,Texas,DEM,Donald Trump,33.6,603
93,YouGov,Mixed,3.4,California,DEM,Donald Trump,43.2,990
94,Ipsos,In-person,6.6,Texas,DEM,Joe Biden,53.2,2799
95,Ipsos,Mixed,3.2,Ohio,REP,Donald Trump,33.4,1869
96,ActiVote,Online,1.9,Ohio,DEM,Ron DeSantis,35.3,1177
97,Ipsos,Mixed,7.8,New York,DEM,Donald Trump,44.2,2050
98,TIPP Insights,Online,0.9,Pennsylvania,DEM,Kamala Harris,39.8,1188
99,TIPP Insights,Mixed,4.7,North Carolina,DEM,Kamala Harris,24.4,2702
100,Ipsos,Phone,5.1,California,DEM,Joe Biden,53.8,2619
